,SampleID,ObjectID,Area,Eccentricity,Perimeter,MajorAxisLength,MinorAxisLength,Rugosity,Height,Width,AspectRatio
0,121_2,121_U1553D_4R_6W_16-19cm_N2of2_Z200x_obj00001_plane000,8889,0.9603745965296553,699.0874452027914,224.14842059443333,62.47295729933553,1.4992500919588791,216.76786424633306,74.44568472008673,2.9117586205482957
1,121_2,121_U1553D_4R_6W_16-19cm_N2of2_Z200x_obj00003_plane000,3196,0.758681353965108,304.43964620053913,81.21402569823293,52.90784323832088,1.5479794608263058,90.26738425257467,54.13530044422573,1.66744034875312
2,121_2,121_U1553D_4R_6W_16-19cm_N2of2_Z200x_obj00004_plane000,7379,0.8841009392899206,459.18585822512665,148.39624464273447,69.34496796885104,1.2940178024302889,144.2946008281844,77.72043958552742,1.856584980703763
3,121_2,121_U1553D_4R_6W_16-19cm_N2of2_Z200x_obj00005_plane000,4404,0.758300628083681,314.7888886054567,96.59278229571675,62.96931984819975,1.2787640079539362,93.35934377464517,68.34967836046312,1.365907580168642
4,121_2,121_U1553D_4R_6W_16-19cm_N2of2_Z200x_obj00006_plane000,3690,0.918244073879521,370.78888860545663,117.3329362308824,46.46559393593032,2.104557625462854,127.59038421171871,51.857241116388046,2.4604159701700232
5,121_2,121_U1553D_4R_6W_16-19cm_N2of2_Z200x_obj00007_plane000,3922,0.8272622313863999,275.1614716074871,97.15777791565392,54.584792658596335,1.195488678926692,92.13486185013997,54.435323309282744,1.6925565285368371
6,121_2,121_U1553D_4R_6W_16-19cm_N2of2_Z200x_obj00008_plane000,8606,0.9636112197586417,495.5290039756342,209.777336501336,56.075101521434995,1.1529128284834564,200.2770823768284,56.22543423207691,3.562037094283022
7,121_2,121_U1553D_4R_6W_16-19cm_N2of2_Z200x_obj00009_plane000,9660,0.9583423867691899,579.4406922210657,217.85803067393243,62.22502463682501,1.351960456792521,215.59197586100197,69.15603433080288,3.1174716414439465
8,121_2,121_U1553D_4R_6W_16-19cm_N2of2_Z200x_obj00010_plane000,2471,0.5425569316931745,233.7056274847714,62.31437794829504,52.34526350869866,1.3666021291402166,60.81118183334395,52.32589506430891,1.1621622861607348
9,121_2,121_U1553D_4R_6W_16-19cm_N2of2_Z200x_obj00011_plane000,5038,0.8672396509220147,441.94931419241726,122.47021970209794,60.97681277684014,1.5520482212863422,125.75931532439652,66.42821147957113,1.8931612416370966
10,121_2,121_U1553D_4R_6W_16-19cm_N2of2_Z200x_obj00012_plane000,5272,0.8760619314463383,349.5462479183374,120.91956569255369,58.30724559405786,1.166231479945363,120.74159371751703,62.49937345108008,1.9318848662062937
11,121_2,121_U1553D_4R_6W_16-19cm_N2of2_Z200x_obj00013_plane000,2550,0.9134578321683992,268.8772003600252,93.99142952313952,38.248251618843334,2.056769480615061,90.22464509579277,42.15467165902497,2.1403237540453337
12,121_2,121_U1553D_4R_6W_16-19cm_N2of2_Z200x_obj00014_plane000,5344,0.8186515786459966,376.144227664784,110.25030520322866,63.315704281602095,1.3820370873211258,114.98760130545067,67.71409303704223,1.69813396514885
13,121_2,121_U1553D_4R_6W_16-19cm_N2of2_Z200x_obj00015_plane000,6125,0.9589424504674819,427.40411229460636,174.22729692153524,49.410989402232815,1.2784715628485768,169.95222349947105,53.80564366494872,3.1586319189446876
14,121_2,121_U1553D_4R_6W_16-19cm_N2of2_Z200x_obj00016_plane000,3806,0.9088349728598695,441.7716446627535,128.7615093973432,53.71361518955243,2.133001250695084,145.94067782726714,63.94434745154627,2.2823077198161017
15,121_2,121_U1553D_4R_6W_16-19cm_N2of2_Z200x_obj00017_plane000,8544,0.9329635228795071,613.1269837220809,182.90680122938133,65.84112995247318,1.648082775692451,193.67272305102148,71.06461820626491,2.725304489625017
16,121_2,121_U1553D_4R_6W_16-19cm_N2of2_Z200x_obj00018_plane000,5208,0.8883389019861215,610.3462838120872,157.36814771446075,72.26162942051384,3.30148803681212,166.70537128062375,73.19766011543321,2.2774685832542767
17,121_2,121_U1553D_4R_6W_16-19cm_N2of2_Z200x_obj00019_plane000,2316,0.9350959710979734,407.3990616607231,113.61993736721888,40.26629102531608,3.7553394939847204,119.8430102559953,49.069795636056234,2.4422969099943685
18,121_2,121_U1553D_4R_6W_16-19cm_N2of2_Z200x_obj00020_plane000,1586,0.42060192929126766,217.28531726798843,48.641736809750924,44.12998664083311,1.888270626142423,47.37615433949868,43.840620433565945,1.0806451612903225
19,121_2,121_U1553D_4R_6W_16-19cm_N2of2_Z200x_obj00021_plane000,4177,0.8728862364164868,316.048773235279,108.74895267002736,53.06120041275812,1.2769777697328284,118.54718574872761,55.69380495202707,2.128552463794501
20,121_2,121_U1553D_4R_6W_16-19cm_N2of2_Z200x_obj00022_plane000,5555,0.8713256429476666,372.88939366884495,123.50790510595418,60.60597513190618,1.200506055551816,116.33750276952713,60.92618409556986,1.9094828356070705
21,121_2,121_U1553D_4R_6W_16-19cm_N2of2_Z200x_obj00023_plane000,2602,0.8354030459119076,263.14927829866735,84.1746274332212,46.26556007756389,1.6051450025183351,85.22804449467982,48.49103376737595,1.7576041975830177
22,121_2,121_U1553D_4R_6W_16-19cm_N2of2_Z200x_obj00024_plane000,8482,0.9708028727151168,563.1269837220809,218.38467662000713,52.385828510412,1.2924482682789382,217.26152471070517,53.890863611787545,4.031509427568045
23,121_2,121_U1553D_4R_6W_16-19cm_N2of2_Z200x_obj00025_plane000,2285,0.812962489635062,218.0071426749364,75.4695610186758,43.947137209286915,1.508419018691933,73.02738949384698,47.79335757419768,1.5279819874649792
24,121_2,121_U1553D_4R_6W_16-19cm_N2of2_Z200x_obj00026_plane000,3342,0.940687808575235,332.51681066681454,116.94631246143742,39.676774226901685,1.9674131443240814,117.3506247684068,43.91971941012307,2.671934756062185
25,121_2,121_U1553D_4R_6W_16-19cm_N2of2_Z200x_obj00027_plane000,5913,0.9813262020777759,472.22644276494276,208.23247204785844,40.05371227643908,1.3593280427343277,197.60768572391876,45.258058996009176,4.366243053891102
