EXP 378 Samples Processing Log,,,,,,,,,,Age model based on CCSF-ABCDE-20200924,,,,,,,Ich Accum (prelim),,,Dry log,,Initial wash (DI water whole sample),,,,Acid Wash,,,Heavy Liquid Step,,,Alizarin Dye Step,,,Picking Log,,,>150 um,,,106-150 um,,,63-106 um,,,38-63 um,,,Don't edit this one,Edit this one!,,Imaging Log,Yale keyence only,,,Segmenting,"Green = complete ""final"" segment",
Serial #,Exp,Site,Hole,Core,Core Type,Sect,Half,Top (cm),Bottom (cm),Top depth CCSF-378-U1553-ABCDE-20200924 (m),Bottom depth CCSF-378-U1553-ABCDE-20200924 (m),Mid-depth CCSF (calc),Age (Linear Interpolation),Sedimentation Rate (cm/Kyr),Sedimentation Rate (cm/Myr),"DBD (variable, g/cm^3)",ich/cm2/myr,Point Person,Time Period,Into Oven,Out of oven,Date washed,Washed by,Dry Weight,Notes,Date acidified,Acidified by,Notes,Date Separated,Separated by,Notes,Date in Alizarin,Dyed by,Dye notes,Picked By,Date started,Date Ended,Dent,Teeth,Frag,Dent,Teeth,Frag,Dent,Teeth,Frag,Dent,Teeth,Frag,Total Ichthyoliths,Total Ichthyoliths (manual),Notes on Picking,Date photographed,Photographed by,Hole 1 zoom level,Hole 2 zoom level (if relevant),Threshold Hole 1,Threshold Hole 2,
77,378,U1553,C,9,R,3,W,20,23,326.48,326.51,326.495,41.82101663,2.052403846,2052.403846,1.24121031,#DIV/0!,Evie,,21-Nov,21-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
78,378,U1553,C,10,R,1,W,30,35,329.24,329.29,329.265,41.95598032,2.052403846,2052.403846,0.82928087,#DIV/0!,Evie,,19-Dec,14-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
79,378,U1553,C,11,R,1,W,8,12,333.52,333.56,333.54,42.16427266,2.052403846,2052.403846,1.28822827,#DIV/0!,Evie,,21-Nov,21-Dec,In oven for final dry 3/16/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
80,378,U1553,C,12,R,1,W,9,14,338.33,338.38,338.355,42.39887561,2.052403846,2052.403846,1.37064932,#DIV/0!,Evie,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
81,378,U1553,C,12,R,2,W,120,124,340.76,340.8,340.78,42.61863068,1.103501277,1103.501277,1.38772414,#DIV/0!,Evie,,21-Nov,21-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
82,378,U1553,C,13,R,1,W,20,25,343.44,343.49,343.465,43.1083983,0.548219178,548.2191781,1.33217241,#DIV/0!,Evie,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
83,378,U1553,C,13,R,3,W,20,22,346.43,346.45,346.44,43.65106447,0.548219178,548.2191781,1.29967467,#DIV/0!,Evie,,21-Nov,21-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
84,378,U1553,C,14,R,1,W,18,20,348.22,348.24,348.23,43.97757621,0.548219178,548.2191781,1.30866376,#DIV/0!,Evie,,19-Dec,18-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
85,378,U1553,C,14,R,2,W,65,68,350.09,350.12,350.105,44.3195927,0.548219178,548.2191781,1.317,#DIV/0!,Evie,,21-Nov,21-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
86,378,U1553,C,15,R,1,W,26,30,353.2,353.24,353.22,44.8877961,0.548219178,548.2191781,1.317,#DIV/0!,Evie,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
87,378,U1553,C,15,R,3,W,50,53,356.02,356.05,356.035,45.40127686,0.548219178,548.2191781,1.317,#DIV/0!,Evie,,19-Jan,1-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
88,378,U1553,C,16,R,1,W,20,23,357.84,357.87,357.855,45.73326087,0.548219178,548.2191781,1.41635127,#DIV/0!,Evie,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
89,378,U1553,C,16,R,3,W,80,83,361.43,361.46,361.445,46.22608488,0.728454767,728.4547667,1.51260105,#DIV/0!,Evie,,19-Dec,18-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
90,378,U1553,C,17,R,1,W,21,25,362.85,362.89,362.87,46.32284881,1.47265625,1472.65625,1.48529268,#DIV/0!,Evie,,19-Jan,1-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
91,378,U1553,C,17,R,3,W,48,51,366.09,366.12,366.105,46.54251989,1.47265625,1472.65625,1.43543886,#DIV/0!,Evie,,19-Jan,1-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
92,378,U1553,C,17,R,5,W,80,83,369.41,369.44,369.425,46.76796286,1.47265625,1472.65625,1.42818996,#DIV/0!,Evie,,8-Feb,25-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
93,378,U1553,C,18,R,1,W,22,26,372.56,372.6,372.58,46.98220159,1.47265625,1472.65625,1.42130131,10304.89402,Elizabeth,,19-Dec,18-Jan,7/30/22,ECS,42.045,Sodium Metaphosphate wash,7/31/22,ECS,,8/1/22,ECS,,,,,ECS,4-Aug,4-Aug,,,,3,16,,1,56,,0,150,,226,207,,,Chas,200x,,0.26,,
94,378,U1553,C,18,R,2,W,20,23,373.98,374.01,373.995,47.07828647,1.47265625,1472.65625,1.41821179,#DIV/0!,Evie,,21-Nov,25-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
95,378,U1553,C,18,R,3,W,30,33,375.32,375.35,375.335,47.16927851,1.47265625,1472.65625,1.40352318,8046.399003,Elizabeth,,8-Feb,25-Feb,7/30/22,ECS,22.348,Sodium Metaphosphate wash,7/31/22,ECS,,8/1/22,ECS,,,,,ECS,4-Aug,4-Aug,,,,2,9,,0,32,,0,52,,95,87,,,Chas,200x,,0.27,,
96,378,U1553,C,19,R,1,W,30,33,382.34,382.37,382.355,47.70068083,1.321033,1321.033,1.28300439,#DIV/0!,Evie,,8-Feb,25-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
97,378,U1553,C,19,R,2,W,22,26,383.49,383.53,383.51,47.79729561,1.195469256,1195.469256,1.29250314,5996.284225,Elizabeth,,8-Feb,25-Feb,7/30/22,ECS,14.688,Sodium Metaphosphate wash,7/31/22,ECS,,n/a,ECS,,,,,ECS,3-Aug,3-Aug,,,,4,13,,1,65,,1,169,,253,229,Did this get swapped with 99?,,Chas,200x,,0.23,,
98,378,U1553,C,21,R,1,W,19,23,391.93,391.97,391.95,48.50329453,1.195469256,1195.469256,1.40018329,#DIV/0!,Evie,,8-Feb,25-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
99,378,U1553,C,21,R,2,W,18,21,393.43,393.46,393.445,48.62835003,1.195469256,1195.469256,1.41925696,13966.68738,Elizabeth,,19-Dec,18-Jan,7/30/22,ECS,27.819,Sodium Metaphosphate wash; really had to work to break down,7/31/22,ECS,,8/1/22,ECS,,,,,ECS,3-Aug,3-Aug,,,,1,5,,0,14,,0,44,,64,57,Did this get swapped with 97?,,Chas,200x,,0.26,,
100,378,U1553,C,21,R,3,W,23,26,394.86,394.89,394.875,48.74796833,1.195469256,1195.469256,1.42076161,#DIV/0!,Chas,,8-Feb,25-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
101,378,U1553,C,22,R,1,W,28,30,401.82,401.84,401.83,49.32974824,1.195469256,1195.469256,1.41367271,13100.79273,Chas,,19-Dec,18-Jan,3/1/22,ICB,17.286,Sodium Metaphosphate wash,,,,,,,,,,ICB,,,,,,6,13,5,5,41,9,7,99,6,171,134,,7/3/22,Elizabeth,200x,200x,0.2,0.25,
102,378,U1553,C,22,R,2,W,20,25,403.25,403.3,403.275,49.45062128,1.195469256,1195.469256,1.41231541,#DIV/0!,Chas,,8-Feb,25-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
103,378,U1553,C,22,R,3,W,19,22,404.74,404.77,404.755,49.57442204,1.195469256,1195.469256,1.41102471,18720.16535,Chas,,19-Jan,1-Feb,6/10/22,ICB,22.527,Sodium Metaphosphate wash,,,,,,,,,,,,,,,,11,14,2,7,56,9,1,199,7,288,250,,7/3/22,Elizabeth,200x,,0.22,,
104,378,U1553,C,23,R,1,W,22,25,411.46,411.49,411.475,50.1365444,1.195469256,1195.469256,1.40516424,#DIV/0!,Chas,,8-Feb,25-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
105,378,U1553,C,23,R,2,W,19,23,412.77,412.81,412.79,50.24654304,1.195469256,1195.469256,1.40401744,22002.71422,Chas,,19-Dec,18-Jan,6/3/22,ICB,28.988,Sodium Metaphosphate wash,,,,,,,,,,,,,,,,,,,,,,,,,0,380,,7/3/22,Elizabeth,200x,,0.21,,
106,378,U1553,C,23,R,3,W,20,24,414.1,414.14,414.12,50.35779643,1.195469256,1195.469256,1.41267352,#DIV/0!,Chas,,8-Feb,25-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
107,378,U1553,C,24,R,1,W,24,29,421.18,421.23,421.205,50.86395712,1.399753095,1399.753095,1.45958333,12170.38242,Chas,,19-Dec,18-Jan,6/24/22,ICB,27.363,Sodium Metaphosphate wash,,,,,,,,,,,,,,,,5,8,2,3,43,4,1,127,9,187,163,,6/28/22,Elizabeth,200x,,0.17,,
108,378,U1553,C,24,R,2,W,28,31,422.71,422.74,422.725,50.96668968,1.479569892,1479.569892,1.45696262,#DIV/0!,Chas,,8-Feb,25-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
109,378,U1553,C,25,R,1,W,18,22,430.92,430.96,430.94,52.06165877,0.750249491,750.2494905,1.42113396,7138.563234,Chas/Elizabeth,,8-Feb,225,7/30/22,ECS,15.832,Sodium Metaphosphate wash,7/31/22,ECS,,n/a,ECS,,,,,ECS,2-Aug,2-Aug,,,,0,2,0,1,20,0,1,82,0,106,94,,,Chas,200x,,0.27,,
110,378,U1553,C,25,R,2,W,21,24,432.45,432.48,432.465,52.76995261,0.215306122,215.3061224,1.42257662,#DIV/0!,Chas,,19-Dec,18-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
111,378,U1553,C,25,R,3,W,19,22,433.59,433.62,433.605,53.29943128,0.215306122,215.3061224,1.42489864,2658.043512,Chas,,8-Feb,25-Feb,5/30/22,ICB,37.165,Sodium Metaphosphate wash,,ICB,,,ICB,,,,,,,,,,,,,,,,,,,,0,322,,7/3/22,Elizabeth,200x,,0.22,,
112,378,U1553,C,25,R,4,W,21,25,434.65,434.69,434.67,53.79407583,0.215306122,215.3061224,1.4270679,#DIV/0!,Chas,50 Ma ish,8-Feb,25-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
113,378,U1553,D,3,R,1,W,20,23,440.64,440.67,440.655,55.26669291,0.406419297,406.419297,1.43925849,4578.010085,Chas,,19-Dec,18-Jan,6/3/22,ICB,33.093,Sodium Metaphosphate wash,,ICB,,,,,,,,,,,,,,,,,,,,,,,0,259,,7/3/22,Elizabeth,200x,,0.25,,
114,378,U1553,D,3,R,2,W,20,23,442.14,442.17,442.155,55.55552277,0.519336884,519.336884,1.44837649,#DIV/0!,Chas,,8-Feb,25-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
115,378,U1553,D,3,R,3,W,20,23,443.41,443.44,443.425,55.80137164,0.51657754,516.5775401,1.46290073,7152.578743,Chas,,19-Jan,1-Feb,5/6/22,ICB,34.549,Sodium Metaphosphate wash,5/13/22,ICB,,,ICB,,,,,,,,,,,,,,,,,,,,0,327,,7/3/22,Elizabeth,200x,200x,0.23,0.2,
116,378,U1553,D,4,R,1,W,20,27,450.34,450.41,450.375,57.14676501,0.51657754,516.5775401,1.54238381,#DIV/0!,Chas,,8-Feb,25-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
117,378,U1553,D,4,R,2,W,16,21,451.8,451.85,451.825,57.47523098,0.441446038,441.4460375,1.55896661,4465.854521,Chas,,21-Nov,21-Dec,6/13/22,ICB,54.09,Sodium Metaphosphate wash,,,,,ICB,,,,,,,,,,,17,14,9,15,93,4,0,249,19,388,351,,7/4/22,Elizabeth,200x,,0.18,,
118,378,U1553,D,4,R,3,W,19,24,453.19,453.24,453.215,57.80082337,0.426914153,426.9141531,1.58594524,#DIV/0!,Chas,,8-Feb,25-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
119,378,U1553,D,4,R,4,W,20,23,454.7,454.73,454.715,58.15218207,0.426914153,426.9141531,1.62454894,5142.765605,Chas,,19-Dec,18-Jan,6/3/22,ICB,46.526,Sodium Metaphosphate wash,,ICB,,,,,,,,,,,,,,,,,,,,,,,0,345,,7/4/22,Elizabeth,200x,,0.22,,
120,378,U1553,D,4,R,5,W,19,22,456.2,456.23,456.215,58.50354076,0.426914153,426.9141531,1.66315264,#DIV/0!,Chas,,8-Feb,25-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
121,378,U1553,D,4,R,6,W,16,19,457.35,457.38,457.365,58.77291576,0.426914153,426.9141531,1.6927488,5064.005014,Chas,,19-Dec,18-Jan,6/24/22,ICB,52.23,Sodium Metaphosphate wash,,,,,ICB,,,,,,,,,,,19,17,0,22,88,7,1,296,4,443,366,,7/4/22,Elizabeth,200x,200x,0.23,0.25,
122,378,U1553,C,28,R,1,W,21,24,459.64,459.67,459.655,59.30932337,0.426914153,426.9141531,1.75168378,#DIV/0!,Chas,,8-Feb,25-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
123,378,U1553,C,28,R,3,W,18,21,462.58,462.61,462.595,59.99798641,0.426914153,426.9141531,1.74352848,1659.164313,Chas,,8-Feb,25-Feb,5/26/22,ICB,33.198,Sodium Metaphosphate wash,,ICB,,,ICB,,,,,,,,,,,,,,,,,,,,0,74,,7/4/22,Elizabeth,200x,,0.24,,
124,378,U1553,C,28,R,4,W,17,21,464.08,464.12,464.1,60.3505163,0.426914153,426.9141531,1.73799878,#DIV/0!,Chas,,19-Dec,18-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
125,378,U1553,C,28,R,5,W,17,19,465.59,465.61,465.6,60.701875,0.426914153,426.9141531,1.73248745,2989.734698,Chas,,8-Feb,25-Feb,6/26/22,ICB,44.035,Sodium Metaphosphate wash,,,,,ICB,,,,,,,,,,,,,,,,,,,,0,178,,11/4/22,Chas,200x,,0.23,,
126,378,U1553,C,28,R,6,W,20,22,467.04,467.06,467.05,61.04152174,0.426914153,426.9141531,1.72715983,#DIV/0!,Chas,,19-Jan,1-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
127,378,U1553,D,6,R,1,W,20,23,471.02,471.05,471.035,61.71837479,0.588754088,588.7540877,1.73580853,#DIV/0!,Chas,55 Ma ish,8-Feb,25-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
128,378,U1553,D,6,R,2,W,16,20,472.44,472.48,472.46,61.86796374,0.952610442,952.6104418,1.74119322,#DIV/0!,Chas/Elizabeth,,19-Jan,1-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,Try this link for the threshold images:
129,378,U1553,D,6,R,3,W,18,23,473.97,474.02,473.995,62.02909992,0.952610442,952.6104418,1.74699357,#DIV/0!,Chas/Elizabeth,,8-Feb,25-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,https://drive.google.com/drive/folders/1c0nBde420WO3QbQcvWLgROhqpsfr9uMH?usp=sharing
130,378,U1553,D,6,R,4,W,21,24,475.38,475.41,475.395,62.1760645,0.952610442,952.6104418,1.75228379,17010.22946,Chas/Elizabeth,,19-Jan,1-Feb,4/15/22,ICB,41.706,Sodium Metaphosphate wash,5/2/22,ICB,,,ICB,,,,,,,,,,,,,,,,,,,,0,425,,7/4/22,Elizabeth,200x,200x,0.23,0.24,
131,378,U1553,D,6,R,5,W,20,23,476.89,476.92,476.905,62.33457631,0.952610442,952.6104418,1.75798968,3615.158906,Chas/Elizabeth,,8-Feb,25-Feb,5/26/22,ICB,29.184,Sodium Metaphosphate wash,,ICB,,,ICB,,,,,,,,,,,,,,,,,,,,0,63,,7/4/22,Elizabeth,200x,,0.18,,
132,378,U1553,D,6,R,6,W,20,23,478.38,478.41,478.395,62.49098862,0.952610442,952.6104418,1.76361998,#DIV/0!,Chas/Elizabeth,,19-Dec,18-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
133,378,U1553,D,6,R,7,W,20,23,479.75,479.78,479.765,62.63480396,0.952610442,952.6104418,1.76879684,18794.08991,Chas/Elizabeth,,8-Feb,25-Feb,6/3/22,ICB,49.041,Sodium Metaphosphate wash,,ICB,,,ICB,,,,,,,,,,,20,24,8,20,140,13,3,314,5,521,547,,7/4/22,Elizabeth,200x,200x,0.22,0.17,
134,378,U1553,D,7,R,3,W,20,30,483.72,483.82,483.77,63.05522766,0.952610442,952.6104418,1.78393066,#DIV/0!,Chas/Elizabeth,,21-Nov,21-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
135,378,U1553,D,7,R,4,W,20,23,484.98,485.01,484.995,63.18382167,0.952610442,952.6104418,1.7885596,5882.515383,Chas/Elizabeth,,8-Feb,25-Feb,6/13/22,ICB,30.412,Sodium Metaphosphate wash,,,,,ICB,,,,,,,,,,,5,9,1,0,36,6,0,63,2,113,105,,7/4/22,Elizabeth,200x,,0.2,,
136,378,U1553,C,32,R,1,W,40,43,486.07,486.1,486.085,63.2982441,0.952610442,952.6104418,1.79267842,#DIV/0!,Chas/Elizabeth,,8-Feb,25-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
137,378,U1553,C,32,R,2,W,20,23,487.37,487.4,487.385,63.43471121,0.952610442,952.6104418,1.79759077,#DIV/0!,Chas/Elizabeth,,19-Dec,18-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
138,378,U1553,C,32,R,3,W,20,23,488.58,488.61,488.595,63.56173061,0.952610442,952.6104418,1.80216303,#DIV/0!,Chas/Elizabeth,,8-Feb,25-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
139,378,U1553,C,32,R,4,W,20,23,489.99,490.02,490.005,63.70974494,0.952610442,952.6104418,1.80749104,7592.372863,Chas/Elizabeth,,19-Jan,1-Feb,6/10/22,ICB,35.832,Sodium Metaphosphate wash,,,,,ICB,,,,,,,,,,,1,6,3,1,57,4,0,97,1,162,158,,7/4/22,Elizabeth,200x,,0.21,,
140,378,U1553,C,33,R,1,W,18,20,491.35,491.37,491.36,63.85198567,0.952610442,952.6104418,1.81261122,#DIV/0!,Chas/Elizabeth,,8-Feb,25-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
141,378,U1553,C,33,R,2,W,20,22,492.82,492.84,492.83,64.00087097,0.987337221,987.3372212,1.81816595,0,Chas/Elizabeth,,19-Dec,18-Jan,5/30/22,ICB,44.734,Sodium Metaphosphate wash,,,,,ICB,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
142,378,U1553,C,33,R,3,W,20,23,494.23,494.26,494.245,64.02141129,6.888888889,6888.888889,1.79242658,#DIV/0!,Chas/Elizabeth,,8-Feb,25-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
143,378,U1553,D,9,R,1,W,21,25,500.34,500.38,500.36,64.11017742,6.888888889,6888.888889,1.54194915,23795.08514,Chas/Elizabeth,60 Ma ish,8-Feb,25-Feb,5/13/22,ICB,55.801,Sodium Metaphosphate wash,5/23/22,ICB,,,ICB,,,,,,,,,,,,,,,,,,,,0,125,,7/4/22,Elizabeth,200x,,0.19,,
144,378,U1553,D,9,R,2,W,20,25,501.82,501.87,501.845,64.13173387,6.888888889,6888.888889,1.53691525,#DIV/0!,Chas/Elizabeth,,19-Dec,18-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
145,378,U1553,D,9,R,3,W,20,26,503.32,503.38,503.35,64.15358065,6.888888889,6888.888889,1.53181356,#DIV/0!,Chas/Elizabeth,,8-Feb,25-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
146,378,U1553,D,9,R,3,W,124,127,504.36,504.39,504.375,64.16845968,6.888888889,6888.888889,1.52833898,#DIV/0!,Chas/Elizabeth,,19-Jan,1-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
