"SampleID","length_mean","length_sd","length_median","length_se","shipboard_ages","nieder_ages"
"93",179.844645341406,97.8781451383686,146.624402616421,6.92103001573016,42.9897298534799,42.9897298534799
"95",194.217405484623,121.888909305637,151.133704722436,13.0678627524281,43.450157967033,43.450157967033
"97",174.895832968688,97.3895868892651,149.400105117107,6.44978295380146,44.8164010989011,44.8164010989011
"99",180.737518783202,105.450019871866,153.262763767994,13.9671963373438,46.3295492111195,46.3295492111195
"101",163.072273975809,102.182970718345,133.280697397139,8.92776760382944,47.1359203606311,47.1359203606311
"103",155.746589946604,83.6972516210351,135.374868759959,5.30409780544991,47.441173594132,47.4163770219826
"105",155.505067394578,87.3704214453298,136.952446971039,4.52994532935231,49.2900773445053,48.0995686437163
"107",164.102205741263,92.9387934946802,132.584830943978,7.34745676078074,49.6670302932646,48.8150705101618
"109",156.427067742685,87.0880828894036,135.415452137519,8.98244989880777,50.103113116339,49.6428079635006
"111",178.419199491059,101.973213884931,154.911188084336,5.72738629617018,50.2224927489526,49.8694048112816
"113",177.493364972055,89.2660429949597,160.962835517235,5.62323214970149,50.5382283653846,50.4688448776441
"115",156.786476561938,78.359430436708,138.076339313923,4.40806235538973,50.6620793269231,50.7523829787234
"117",157.354444813153,88.7577191232303,134.658243612074,4.79246636198754,51.03765625,51.5387659574468
"119",157.465934032034,107.2802887866,135.677966309043,5.84392970762861,51.1668725961538,52.0310840108401
"121",145.443274864932,78.2665048423412,126.842026664849,4.1307481365715,51.2853581730769,52.3829810298103
"123",183.842413351982,99.8242804612055,155.858440635446,11.6043368929159,53.0764759036145,53.0812861271676
"125",163.609570762139,80.7273418664403,146.280541658762,6.05077008972993,54.2895729537367,53.4376851851852
"130",159.487989562015,74.8008700969148,140.802876907212,3.64990872920964,55.8426785714286,54.7414669652855
"131",153.892118466534,95.7102745789238,126.894752439023,12.2544449346062,56.0404166666667,55.032306830907
"133",125.211316329373,68.0420538143833,106.685790716702,2.93896909509767,56.4149404761905,55.5831690929451
"135",151.234712446032,91.5554390359034,125.519572728212,9.02122546572616,57.0998214285714,56.5304533333333
"139",131.519026632992,71.1872059659149,110.165673165615,5.71789398023861,58.3492430904523,57.3379258642232
"143",147.663259460246,84.4954626557137,125.320533288902,7.58791654508577,61.1526381909548,61.038296543107
