,SampleID,ObjectID,Area,Eccentricity,Perimeter,MajorAxisLength,MinorAxisLength,Rugosity,Height,Width,AspectRatio
0,121_1,121_U1553D_4R_6W_16-19cm_N1of2_Z200x_obj00001_plane000,554508,0.8355185495145003,4832.762948353013,1272.5842807235613,699.2370097430869,1.2007869458394989,1172.0,1044.0,1.1226053639846743
1,121_1,121_U1553D_4R_6W_16-19cm_N1of2_Z200x_obj00002_plane000,1108209,0.8578449990883764,6644.280805040353,1895.9222821803314,974.330596750295,1.1203306093262801,1824.0,1428.0,1.2773109243697478
2,121_1,121_U1553D_4R_6W_16-19cm_N1of2_Z200x_obj00004_plane000,6047,0.3947972747740104,524.653895656662,96.1772149929258,88.36457227429392,1.6933024950779654,97.67972529745376,91.68019998059766,1.065439705826621
3,121_1,121_U1553D_4R_6W_16-19cm_N1of2_Z200x_obj00006_plane000,2314,0.850266034860385,290.3330444827409,80.575202954716,42.41101429415619,2.5413719670388852,81.84008115255467,44.721359549995796,1.8299998474121157
4,121_1,121_U1553D_4R_6W_16-19cm_N1of2_Z200x_obj00007_plane000,19449,0.934525830253426,741.9980874276962,270.9013295376465,96.412513001227,1.1406286129133365,263.18134887689814,110.93879626010954,2.372311199950623
5,121_1,121_U1553D_4R_6W_16-19cm_N1of2_Z200x_obj00008_plane000,24247,0.888926807305071,807.4711754931151,271.4565231633814,124.34046153296858,1.135265488635503,252.66732828914618,138.37069543157727,1.8260176224530669
6,121_1,121_U1553D_4R_6W_16-19cm_N1of2_Z200x_obj00009_plane000,30561,0.8020322533493249,944.0285706997456,270.2445999115944,161.4118905921406,1.1165951253547122,274.73912206347615,179.49364168261297,1.5306342859168216
7,121_1,121_U1553D_4R_6W_16-19cm_N1of2_Z200x_obj00010_plane000,2490,0.6910743560458735,409.7127701597078,73.27013121275621,52.958454379739976,2.652115246935298,77.7264412954965,60.41225799303581,1.286600499263852
8,121_1,121_U1553D_4R_6W_16-19cm_N1of2_Z200x_obj00012_plane000,16553,0.6361141230731288,587.0681092190353,166.85650082414827,128.74563941812744,1.1685460833131835,173.2753971505338,128.6885389254348,1.3464710890138682
9,121_1,121_U1553D_4R_6W_16-19cm_N1of2_Z200x_obj00013_plane000,14098,0.7212190724984342,549.2102448427661,166.35669542050388,115.23645481326999,1.1300857204552008,165.4869218075721,117.198761702724,1.4120193712228084
