,EXP 378 Samples Processing Log,,,,,,,,,,Age model based on CCSF-ABCDE-20200924,,,Shipboard Age,,,,Ich Accum (prelim),Bryan Age Model updates,,,,,,,Dry log,,Initial wash (DI water whole sample),,,,Acid Wash,,,Heavy Liquid Step,,,Alizarin Dye Step,,,Picking Log,,,>150 um,,,106-150 um,,,63-106 um,,,38-63 um,,,,,Don't edit this one,Edit this one!,,Imaging Log,Yale keyence only,,,Segmenting,"Green = complete ""final"" segment",
IODP Sample Request,Serial #,Exp,Site,Hole,Core,Core Type,Sect,Half,Top (cm),Bottom (cm),Top depth CCSF-378-U1553-ABCDE-20200924 (m),Bottom depth CCSF-378-U1553-ABCDE-20200924 (m),Mid-depth CCSF (calc),Age (Linear Interpolation),Sedimentation Rate (cm/Kyr),Sedimentation Rate (cm/Myr),"DBD (variable, g/cm^3)",ich/cm2/myr,Age (Ma) New,Age Difference,Sed rate (cm/kyr),Sed rate (cm/myr),IAR,Point Person,Time Period,Into Oven,Out of oven,Date washed,Washed by,Dry Weight,Notes,Date acidified,Acidified by,Notes,Date Separated,Separated by,Notes,Date in Alizarin,Dyed by,Dye notes,Picked By,Date started,Date Ended,Dent,Teeth,Frag,Dent,Teeth,Frag,Dent,Teeth,Frag,Dent,Teeth,Frag,Total Teeth,Total Denticles,Total Ichthyoliths,Total Ichthyoliths (manual),Notes on Picking,Date photographed,Photographed by,Hole 1 zoom level,Hole 2 zoom level (if relevant),Threshold Hole 1,Threshold Hole 2,
91039IODP,53,378,U1553,B,24,X,3,W,4,10,210.54,210.6,210.57,35.91922446,2.853191489,2853.191489,1.22930829,#DIV/0!,34.98931119,-0.9299132723,1.303821656,1303.821656,#DIV/0!,Iszac,,1-Feb,15-Feb,,IMH,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,54,378,U1553,A,26,X,1,W,46,50,217.26,217.3,217.28,36.47897872,1.19874031,1198.74031,1.23192683,8762.704487,35.50395213,-0.9750265983,1.303821656,1303.821656,9530.841485,Iszac,,21-Nov,21-Dec,2/8/2022,IMH,33.2,,5/16/2022,IMH,,5/26/2022,ECS,,,,,IMH/ECS,6/1/2022,6/29/2022,,,,1,7,7,0,42,21,0,147,57,196,1,197,197,,,,,,,,
91039IODP,55,378,U1553,B,26,X,4,W,23,29,231.05,231.11,231.08,38.04982979,0.8785046729,878.5046729,1.14961364,#DIV/0!,36.14035885,-1.90947094,2.168424612,2168.424612,#DIV/0!,Iszac,,19-Dec,24-Jan,,IMH,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,56,378,U1553,B,26,X,5,W,110,118,233.42,233.5,233.46,38.18579503,1.750447405,1750.447405,1.04243333,#DIV/0!,36.23417889,-1.951616133,2.5367713,2536.7713,#DIV/0!,Iszac,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,57,378,U1553,B,27,X,1,W,1,5,235.9,235.94,235.92,38.24449887,4.190526316,4190.526316,1.05063333,10582.15748,36.33115255,-1.913346315,2.5367713,2536.7713,6406.00043,Iszac,,19-Jan,1-Feb,5/26/2022,IMH,33.284,,5/31/2022,IMH,,6/28/2022,IMH,stuck to bottom,,,,IMH,8/1/2022,8/5/2022,,,,2,5,2,2,27,10,0,44,16,76,4,80,80,1 tooth lost in transfer ,,IMH,200x,200x,0.2,0.3,
91039IODP,58,378,U1553,E,26,X,2,W,7,11,243.66,243.7,243.68,38.42967847,4.190526316,4190.526316,1.25467404,#DIV/0!,36.63705321,-1.792625264,2.5367713,2536.7713,#DIV/0!,Iszac,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,59,378,U1553,E,26,X,3,W,80,86,245.89,245.95,245.92,38.48313238,4.190526316,4190.526316,1.282167,0,36.72535443,-1.757777951,2.5367713,2536.7713,0,Iszac,,19-Dec,24-Jan,6/2/2022,IMH,42.76,,6/15/2022,IMH,Forgot to sieve >150; had to do 2 days of acidification (washed & dried between) - also lost sample in pouring from sieve to filter paper (~10mL of liquid) ,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,60,378,U1553,E,26,X,4,W,141,150,248,248.09,248.045,38.533842,4.190526316,4190.526316,1.30824849,#DIV/0!,36.80912233,-1.724719673,2.5367713,2536.7713,#DIV/0!,Evie,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,61,378,U1553,E,26,X,6,W,66,70,250.25,250.29,250.27,38.58693796,4.190526316,4190.526316,1.33555734,#DIV/0!,36.89683224,-1.690105712,2.5367713,2536.7713,#DIV/0!,Evie,,19-Jan,1-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,62,378,U1553,B,28,X,1,W,85,89,250.87,250.91,250.89,38.60173323,4.190526316,4190.526316,1.343167,#DIV/0!,36.92127276,-1.680460473,2.5367713,2536.7713,#DIV/0!,Evie,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,63,378,U1553,E,27,X,2,W,125,129,255.08,255.12,255.1,38.70219794,4.190526316,4190.526316,1.31605882,#DIV/0!,37.08723175,-1.614966192,2.5367713,2536.7713,#DIV/0!,Evie,,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,64,378,U1553,E,27,X,5,W,29,36,258.65,258.69,258.67,38.7873901,4.190526316,4190.526316,1.30075,#DIV/0!,37.22796182,-1.559428286,2.5367713,2536.7713,#DIV/0!,Evie,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,65,378,U1553,B,29,X,3,W,75,80,262.82,262.87,262.845,38.88701959,4.190526316,4190.526316,1.31436413,#DIV/0!,37.3925411,-1.494478494,2.5367713,2536.7713,#DIV/0!,Evie,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,66,378,U1553,C,3,R,2,W,85,92,276.97,277.04,277.005,39.36625587,2.954701204,2954.701204,1.29528564,0,37.95073095,-1.415524916,2.5367713,2536.7713,0,Evie,,19-Dec,24-Jan,2/7/2022,EFS,43.893,"really tough to break down, multiple washes",2/28/2022,EFS,,5/26/2022,ECS,2.8 g/cm3,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,67,378,U1553,C,4,R,1,W,10,17,284.84,284.91,284.875,39.76652973,1.966153846,1966.153846,1.38520403,#DIV/0!,38.27716358,-1.489366158,2.410910995,2410.910995,#DIV/0!,Evie,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,68,378,U1553,C,4,R,2,W,51,55,286.76,286.8,286.78,39.86341941,1.966153846,1966.153846,1.39854067,#DIV/0!,38.36321921,-1.500200195,2.213684211,2213.684211,#DIV/0!,Evie,,19-Dec,18-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,69,378,U1553,C,5,R,1,W,6,9,294.6,294.63,294.615,40.26191315,1.966153846,1966.153846,1.37979665,#DIV/0!,38.71715407,-1.54475908,2.213684211,2213.684211,#DIV/0!,Evie,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,70,378,U1553,C,5,R,2,W,100,108,296.82,296.9,296.86,40.37609546,1.966153846,1966.153846,1.374664,#DIV/0!,38.81856871,-1.55752675,2.213684211,2213.684211,#DIV/0!,Evie,,19-Jan,1-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,71,378,U1553,C,6,R,1,W,15,19,304.49,304.53,304.51,40.74983368,2.04688724,2046.88724,1.363954,#DIV/0!,39.1852,-1.564633685,2.08656496,2086.56496,#DIV/0!,Evie,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,72,378,U1553,C,6,R,2,W,50,55,306.32,306.37,306.345,40.83924104,2.052403846,2052.403846,1.361385,#DIV/0!,39.2953,-1.54394104,1.666666667,1666.666667,#DIV/0!,Evie,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,73,378,U1553,C,7,R,2,W,21,27,310.54,310.6,310.57,41.04509721,2.052403846,2052.403846,1.36550158,0,39.5488,-1.496297212,1.666666667,1666.666667,0,Evie,,21-Nov,21-Nov,11/29/2021,EFS,25.57,,12/1/2021,EFS,,5/24/2022,ECS,2.8 g/cm3,12/3/2021,EFS,,12/1/2021,,,,,,,,,,,,,,,0,0,0,0,Finishe picking by Evie; Heavy liquid experiment 5/24/2022,,,,,,,
91039IODP,74,378,U1553,C,8,R,1,W,20,25,314.24,314.29,314.265,41.22513001,2.052403846,2052.403846,1.33869243,#DIV/0!,39.7705,-1.454630007,1.666666667,1666.666667,#DIV/0!,Evie,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,75,378,U1553,C,8,R,3,W,20,23,316.85,316.88,316.865,41.35181073,2.052403846,2052.403846,1.3257019,1489.847663,39.9265,-1.425310729,1.666666667,1666.666667,1209.839595,Evie,,21-Nov,21-Dec,2/9/2022,EFS,32.873,,3/29/2022,EFS,,5/26/2022,ECS/ICB,2.8 g/cm3,3/30/2022,EFS,,Diane,6/12/2023,6/16/2023,,,,,,,1,17,1,,,,17,1,18,18,,,,,,,,
91039IODP,76,378,U1553,C,9,R,1,W,10,13,323.84,323.86,323.85,41.69214336,2.052403846,2052.403846,1.34637632,#DIV/0!,40.3456,-1.346543359,1.666666667,1666.666667,#DIV/0!,Evie,~40 Ma (Evie),1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,77,378,U1553,C,9,R,3,W,20,23,326.48,326.51,326.495,41.82101663,2.052403846,2052.403846,1.24121031,#DIV/0!,40.5043,-1.316716632,1.666666667,1666.666667,#DIV/0!,Evie,,21-Nov,21-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,78,378,U1553,C,10,R,1,W,30,35,329.24,329.29,329.265,41.95598032,2.052403846,2052.403846,0.82928087,#DIV/0!,40.6705,-1.285480323,1.666666667,1666.666667,#DIV/0!,Evie,,19-Dec,14-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,79,378,U1553,C,11,R,1,W,8,12,333.52,333.56,333.54,42.16427266,2.052403846,2052.403846,1.28822827,#DIV/0!,40.86702804,-1.297244621,2.175262092,2175.262092,#DIV/0!,Evie,,21-Nov,21-Dec,In oven for final dry 3/16/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,80,378,U1553,C,12,R,1,W,9,14,338.33,338.38,338.355,42.39887561,2.052403846,2052.403846,1.37064932,#DIV/0!,41.08282298,-1.31605263,2.231284916,2231.284916,#DIV/0!,Evie,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,81,378,U1553,C,12,R,2,W,120,124,340.76,340.8,340.78,42.61863068,1.103501277,1103.501277,1.38772414,#DIV/0!,41.19150476,-1.427125928,2.231284916,2231.284916,#DIV/0!,Evie,,21-Nov,21-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,82,378,U1553,C,13,R,1,W,20,25,343.44,343.49,343.465,43.1083983,0.5482191781,548.2191781,1.33217241,#DIV/0!,41.31183901,-1.796559292,2.231284916,2231.284916,#DIV/0!,Evie,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,83,378,U1553,C,13,R,3,W,20,22,346.43,346.45,346.44,43.65106447,0.5482191781,548.2191781,1.29967467,1589.901311,41.44517026,-2.205894212,2.231284916,2231.284916,6470.993637,Evie,,21-Nov,21-Dec,6/8/2023,DD,27.785,,6/9/2023,DD,,6/12/2023,DD,2.8 g/cm3,,,,Diane,6/19/2023,7/11/2023,,,,1,8,1,0,47,1,,6,4,61,1,62,62,,,,,,,,
91039IODP,84,378,U1553,C,14,R,1,W,18,20,348.22,348.24,348.23,43.97757621,0.5482191781,548.2191781,1.30866376,#DIV/0!,41.52539309,-2.452183122,2.231284916,2231.284916,#DIV/0!,Evie,,19-Dec,18-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,85,378,U1553,C,14,R,2,W,65,68,350.09,350.12,350.105,44.3195927,0.5482191781,548.2191781,1.317,#DIV/0!,41.60942539,-2.710167316,2.231284916,2231.284916,#DIV/0!,Evie,,21-Nov,21-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,86,378,U1553,C,15,R,1,W,26,30,353.2,353.24,353.22,44.8877961,0.5482191781,548.2191781,1.317,#DIV/0!,41.74903105,-3.138765055,2.231284916,2231.284916,#DIV/0!,Evie,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,87,378,U1553,C,15,R,3,W,50,53,356.02,356.05,356.035,45.40127686,0.5482191781,548.2191781,1.317,#DIV/0!,41.87519154,-3.526085324,2.231284916,2231.284916,#DIV/0!,Evie,,19-Jan,1-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,88,378,U1553,C,16,R,1,W,20,23,357.84,357.87,357.855,45.73326087,0.5482191781,548.2191781,1.41635127,#DIV/0!,41.95675889,-3.776501981,2.231284916,2231.284916,#DIV/0!,Evie,,1-Feb,15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,89,378,U1553,C,16,R,3,W,80,83,361.43,361.46,361.445,46.22608488,0.7284547667,728.4547667,1.51260105,#DIV/0!,42.11765273,-4.108432152,2.231284916,2231.284916,#DIV/0!,Evie,,19-Dec,18-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,90,378,U1553,C,17,R,1,W,21,25,362.85,362.89,362.87,46.32284881,1.47265625,1472.65625,1.48529268,#DIV/0!,42.18151728,-4.14133153,2.231284916,2231.284916,#DIV/0!,Evie,,19-Jan,1-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,91,378,U1553,C,17,R,3,W,48,51,366.09,366.12,366.105,46.54251989,1.47265625,1472.65625,1.43543886,#DIV/0!,42.326501,-4.216018892,2.231284916,2231.284916,#DIV/0!,Evie,,19-Jan,1-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,92,378,U1553,C,17,R,5,W,80,83,369.41,369.44,369.425,46.76796286,1.47265625,1472.65625,1.42818996,#DIV/0!,42.47529419,-4.292668673,2.231284916,2231.284916,#DIV/0!,Evie,,8-Feb,2/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,93,378,U1553,C,18,R,1,W,22,26,372.56,372.6,372.58,46.98220159,1.47265625,1472.65625,1.42130131,10304.89402,42.98972985,-3.992471738,0.6132934071,613.2934071,4291.513085,Elizabeth,,19-Dec,18-Jan,7/30/2022,ECS,42.045,Sodium Metaphosphate wash,7/31/2022,ECS,,8/1/2022,ECS,,,,,ECS,8/4,8/4,,,,3,16,,1,56,,0,150,,222,4,226,207,,,Chas,200x,,0.26,,
91039IODP,94,378,U1553,C,18,R,2,W,20,23,373.98,374.01,373.995,47.07828647,1.47265625,1472.65625,1.41821179,#DIV/0!,43.22621108,-3.852075392,0.5983561644,598.3561644,#DIV/0!,Evie,,21-Nov,25-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,95,378,U1553,C,18,R,3,W,30,33,375.32,375.35,375.335,47.16927851,1.47265625,1472.65625,1.40352318,8046.399003,43.45015797,-3.719120548,0.5983561644,598.3561644,3269.338954,Elizabeth,,8-Feb,2/25,7/30/2022,ECS,22.348,Sodium Metaphosphate wash,7/31/2022,ECS,,8/1/2022,ECS,,,,,ECS,8/4,8/4,,,,2,9,,0,32,,0,52,,93,2,95,87,,,Chas,200x,,0.27,,
91039IODP,96,378,U1553,C,19,R,1,W,30,33,382.34,382.37,382.355,47.70068083,1.321033,1321.033,1.28300439,#DIV/0!,44.62337225,-3.077308581,0.5983561644,598.3561644,#DIV/0!,Evie,,8-Feb,2/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,97,378,U1553,C,19,R,2,W,22,26,383.49,383.53,383.51,47.79729561,1.195469256,1195.469256,1.29250314,5996.284225,44.8164011,-2.980894516,0.5983561644,598.3561644,3001.259641,Elizabeth,,8-Feb,2/25,7/30/2022,ECS,14.688,Sodium Metaphosphate wash,7/31/2022,ECS,,n/a,ECS,,,,,ECS,8/3,8/3,,,,4,13,,1,65,,1,169,,247,6,253,57,Did this get swapped with 99?,,Chas,200x,,0.23,,
91039IODP,98,378,U1553,C,21,R,1,W,19,23,391.93,391.97,391.95,48.50329453,1.195469256,1195.469256,1.40018329,#DIV/0!,46.18577761,-2.317516921,0.6163388905,616.3388905,#DIV/0!,Evie,,8-Feb,2/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,99,378,U1553,C,21,R,2,W,18,21,393.43,393.46,393.445,48.62835003,1.195469256,1195.469256,1.41925696,13966.68738,46.32954921,-2.298800816,1.03984375,1039.84375,12148.51198,Elizabeth,,19-Dec,18-Jan,7/30/2022,ECS,27.819,Sodium Metaphosphate wash; really had to work to break down,7/31/2022,ECS,,8/1/2022,ECS,,,,,ECS,8/3,8/3,,,,1,5,,0,14,,0,44,,63,1,64,229,Did this get swapped with 97?,,Chas,200x,,0.26,,
91039IODP,100,378,U1553,C,21,R,3,W,23,26,394.86,394.89,394.875,48.74796833,1.195469256,1195.469256,1.42076161,#DIV/0!,46.46706987,-2.280898455,1.03984375,1039.84375,#DIV/0!,Chas,,8-Feb,2/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,101,378,U1553,C,22,R,1,W,28,30,401.82,401.84,401.83,49.32974824,1.195469256,1195.469256,1.41367271,13100.79273,47.13592036,-2.19382788,1.03984375,1039.84375,11395.33901,Chas,,19-Dec,18-Jan,3/1/2022,ICB,17.286,Sodium Metaphosphate wash,,,,,,,,,,ICB,,,,,,6,13,5,5,41,9,7,99,6,153,18,171,134,,7/3/2022,Elizabeth,200x,200x,0.2,0.25,
91039IODP,102,378,U1553,C,22,R,2,W,20,25,403.25,403.3,403.275,49.45062128,1.195469256,1195.469256,1.41231541,#DIV/0!,47.27488355,-2.175737732,1.03984375,1039.84375,#DIV/0!,Chas,,8-Feb,2/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,103,378,U1553,C,22,R,3,W,19,22,404.74,404.77,404.755,49.57442204,1.195469256,1195.469256,1.41102471,18720.16535,47.41637702,-2.158045014,1.045984624,1045.984624,16379.34645,Chas,,19-Jan,1-Feb,6/10/2022,ICB,22.527,Sodium Metaphosphate wash,,,,,,,,,,,,,,,,11,14,2,7,56,9,1,199,7,269,19,288,250,,7/3/2022,Elizabeth,200x,,0.22,,
91039IODP,104,378,U1553,C,23,R,1,W,22,25,411.46,411.49,411.475,50.1365444,1.195469256,1195.469256,1.40516424,#DIV/0!,47.98775819,-2.148786205,1.176097561,1176.097561,#DIV/0!,Chas,,8-Feb,2/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,105,378,U1553,C,23,R,2,W,19,23,412.77,412.81,412.79,50.24654304,1.195469256,1195.469256,1.40401744,22002.71422,48.09956864,-2.146974399,1.176097561,1176.097561,21646.17652,Chas,,19-Dec,18-Jan,6/3/2022,ICB,28.988,Sodium Metaphosphate wash,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,380,,7/3/2022,Elizabeth,200x,,0.21,,
91039IODP,106,378,U1553,C,23,R,3,W,20,24,414.1,414.14,414.12,50.35779643,1.195469256,1195.469256,1.41267352,#DIV/0!,48.2126545,-2.145141926,1.176097561,1176.097561,#DIV/0!,Chas,,8-Feb,2/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,107,378,U1553,C,24,R,1,W,24,29,421.18,421.23,421.205,50.86395712,1.399753095,1399.753095,1.45958333,12170.38242,48.81507051,-2.048886612,1.176097561,1176.097561,10225.77277,Chas,,19-Dec,18-Jan,6/24/2022,ICB,27.363,Sodium Metaphosphate wash,,,,,,,,,,,,,,,,5,8,2,3,43,4,1,127,9,178,9,187,163,,6/28/2022,Elizabeth,200x,,0.17,,
91039IODP,108,378,U1553,C,24,R,2,W,28,31,422.71,422.74,422.725,50.96668968,1.479569892,1479.569892,1.45696262,#DIV/0!,48.94431149,-2.022378191,1.176097561,1176.097561,#DIV/0!,Chas,,8-Feb,2/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,109,378,U1553,C,25,R,1,W,18,22,430.92,430.96,430.94,52.06165877,0.7502494905,750.2494905,1.42113396,6330.424,49.64280796,-2.418850804,1.176097561,1176.097561,9923.627167,Chas/Elizabeth,,8-Feb,225,7/30/2022,ECS,15.832,Sodium Metaphosphate wash,7/31/2022,ECS,,n/a,ECS,,,,,ECS,8/2,8/2,,,,0,2,0,1,20,0,1,82,0,104,2,106,94,,,Chas,200x,,0.27,,
91039IODP,110,378,U1553,C,25,R,2,W,21,24,432.45,432.48,432.465,52.76995261,0.2153061224,215.3061224,1.42257662,#DIV/0!,49.77247408,-2.997478529,1.176097561,1176.097561,#DIV/0!,Chas,,19-Dec,18-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,111,378,U1553,C,25,R,3,W,19,22,433.59,433.62,433.605,53.29943128,0.2153061224,215.3061224,1.42489864,2658.043512,49.86940481,-3.430026468,1.176097561,1176.097561,14519.4129,Chas,,8-Feb,2/25,5/30/2022,ICB,37.165,Sodium Metaphosphate wash,,ICB,,,ICB,,,,,,,,,,,,,,,,,,,,0,0,0,322,,7/3/2022,Elizabeth,200x,,0.22,,
91039IODP,112,378,U1553,C,25,R,4,W,21,25,434.65,434.69,434.67,53.79407583,0.2153061224,215.3061224,1.4270679,#DIV/0!,49.95995852,-3.834117306,1.176097561,1176.097561,#DIV/0!,Chas,50 Ma ish,8-Feb,2/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,113,378,U1553,D,3,R,1,W,20,23,440.64,440.67,440.655,55.26669291,0.406419297,406.419297,1.43925849,4578.010085,50.46884488,-4.797848036,1.176097561,1176.097561,13247.86135,Chas,,19-Dec,18-Jan,6/3/2022,ICB,33.093,Sodium Metaphosphate wash,,ICB,,,,,,,,,,,,,,,,,,,,,,,0,0,0,259,,7/3/2022,Elizabeth,200x,,0.25,,
91039IODP,114,378,U1553,D,3,R,2,W,20,23,442.14,442.17,442.155,55.55552277,0.519336884,519.336884,1.44837649,#DIV/0!,50.62755882,-4.927963951,0.945096533,945.096533,#DIV/0!,Chas,,8-Feb,2/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,115,378,U1553,D,3,R,3,W,20,23,443.41,443.44,443.425,55.80137164,0.5165775401,516.5775401,1.46290073,7152.578743,50.75238298,-5.048988657,1.01743128,1017.43128,14087.44434,Chas,,19-Jan,1-Feb,5/6/2022,ICB,34.549,Sodium Metaphosphate wash,5/13/2022,ICB,,,ICB,,,,,,,,,,,,,,,,,,,,0,0,0,327,,7/3/2022,Elizabeth,200x,200x,0.23,0.2,
91039IODP,116,378,U1553,D,4,R,1,W,20,27,450.34,450.41,450.375,57.14676501,0.5165775401,516.5775401,1.54238381,#DIV/0!,51.40302128,-5.743743734,1.068181818,1068.181818,#DIV/0!,Chas,,8-Feb,2/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,117,378,U1553,D,4,R,2,W,16,21,451.8,451.85,451.825,57.47523098,0.4414460375,441.4460375,1.55896661,4465.854521,51.53876596,-5.936465021,1.068181818,1068.181818,10806.17832,Chas,,21-Nov,21-Dec,6/13/2022,ICB,54.09,Sodium Metaphosphate wash,,,,,ICB,,,,,,,,,,,17,14,9,15,93,4,0,249,19,356,32,388,351,,7/4/2022,Elizabeth,200x,,0.18,,
91039IODP,118,378,U1553,D,4,R,3,W,19,24,453.19,453.24,453.215,57.80082337,0.4269141531,426.9141531,1.58594524,#DIV/0!,51.78090909,-6.019914279,0.5740406429,574.0406429,#DIV/0!,Chas,,8-Feb,2/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,119,378,U1553,D,4,R,4,W,20,23,454.7,454.73,454.715,58.15218207,0.4269141531,426.9141531,1.62454894,5142.765605,52.03108401,-6.121098054,0.5995804857,599.5804857,7222.768036,Chas,,19-Dec,18-Jan,6/3/2022,ICB,46.526,Sodium Metaphosphate wash,,ICB,,,,,,,,,,,,,,,,,,,,,,,0,0,0,345,,7/4/2022,Elizabeth,200x,,0.22,,
91039IODP,120,378,U1553,D,4,R,5,W,19,22,456.2,456.23,456.215,58.50354076,0.4269141531,426.9141531,1.66315264,#DIV/0!,52.230271,-6.273269758,0.7530612245,753.0612245,#DIV/0!,Chas,,8-Feb,2/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,121,378,U1553,D,4,R,6,W,16,19,457.35,457.38,457.365,58.77291576,0.4269141531,426.9141531,1.6927488,5064.005014,52.38298103,-6.389934731,0.7530612245,753.0612245,8932.722864,Chas,,19-Dec,18-Jan,6/24/2022,ICB,52.23,Sodium Metaphosphate wash,,,,,ICB,,,,,,,,,,,19,17,0,22,88,7,1,296,4,401,42,443,366,,7/4/2022,Elizabeth,200x,200x,0.23,0.25,
91039IODP,122,378,U1553,C,28,R,1,W,21,24,459.64,459.67,459.655,59.30932337,0.4269141531,426.9141531,1.75168378,#DIV/0!,52.70565299,-6.603670384,0.7096991116,709.6991116,#DIV/0!,Chas,,8-Feb,2/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,123,378,U1553,C,28,R,3,W,18,21,462.58,462.61,462.595,59.99798641,0.4269141531,426.9141531,1.74352848,1659.164313,53.08128613,-6.916700286,0.7826785421,782.6785421,3041.811324,Chas,,8-Feb,2/25,5/26/2022,ICB,33.198,Sodium Metaphosphate wash,,ICB,,,ICB,,,,,,,,,,,,,,,,,,,,0,0,0,74,,7/4/2022,Elizabeth,200x,,0.24,,
