,SampleID,ObjectID,Area,Eccentricity,Perimeter,MajorAxisLength,MinorAxisLength,Rugosity,Height,Width,AspectRatio
0,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00001_plane000,515630,0.8314585347436347,5015.806670954408,1217.0542320282307,676.1792800738224,1.2916349066902955,1082.0,1022.0,1.0587084148727985
1,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00002_plane000,4055,0.5322249017792312,393.6883835420683,80.26909742296587,67.95605936429926,1.7001839289911123,70.99998474121094,59.99999237060547,1.1833332294887835
2,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00003_plane000,6592,0.8077531101112067,543.2102448427662,123.4282487661674,72.76353455599599,1.7124452543573074,108.0,66.0,1.6363636363636365
3,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00004_plane000,3794,0.5760770237255619,310.24368670764585,78.89351356627223,64.4871961789425,1.3040956089053921,67.99998474121094,55.99999237060547,1.2142856072406234
4,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00005_plane000,4145,0.5728289130107866,685.5605332682103,90.14643832414149,73.89077802775594,3.5242451877237544,94.33728885654699,79.7747459628474,1.1825457758333902
5,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00006_plane000,5645,0.6097035449772867,513.541197284454,98.50035867799284,78.07429396152732,1.7938156191632093,86.0,70.0,1.2285714285714286
6,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00008_plane000,25646,0.8148505273906668,1436.1088732276005,244.08363215377818,141.48823466627033,2.1277158482138794,218.0,126.0,1.7301587301587302
7,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00009_plane000,30908,0.5043387950025535,747.4356415871824,216.02988843093675,186.5430757962421,1.0731956702284264,211.13432005306328,186.70433331415146,1.130848525608699
8,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00010_plane000,2351,0.43213546297597927,332.13203435596427,59.33883450851694,53.51227754462942,2.0379878964311167,54.0,49.0,1.1020408163265305
9,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00011_plane000,11072,0.8282755343177527,464.17366491630685,160.5146851400741,89.93975121415258,1.0989170106067445,163.57084684120235,99.38718013825203,1.6457942222897153
10,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00012_plane000,10752,0.7947923876646467,610.2813126546316,164.78742577437222,100.00642730089325,1.284975694530221,158.4714810641109,118.54071521250563,1.336852749538605
11,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00013_plane000,16300,0.7570590484171865,622.0914498161482,184.01435962700722,120.22513050993291,1.148908540351674,179.6037710815315,132.366866296097,1.356863512049672
12,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00014_plane000,18936,0.8059964079080646,652.9442635585339,203.91789832110936,120.70316919558962,1.1654879315565485,211.66593570906124,124.74111081602219,1.6968418376620238
13,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00015_plane000,2773,0.2090184981366505,237.7228714274745,61.4905098409033,60.13228820877962,1.2098762297349497,53.0,52.0,1.0192307692307692
14,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00016_plane000,2797,0.3830260602705726,286.5695885154504,63.208813713255665,58.38835389243771,1.5259378589251398,57.0,52.0,1.0961538461538463
15,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00017_plane000,4326,0.7776965905609894,354.01323932934633,96.1076253543217,60.41707951909808,1.4535167755320595,86.99998474121094,52.99999237060547,1.6415093823572384
16,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00018_plane000,7414,0.44588816292554667,404.2914139223983,105.22381411584882,94.18464494610264,1.2027394696359992,91.0,82.0,1.1097560975609757
17,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00019_plane000,16555,0.9111889805080546,614.9259735953042,233.87229257564016,96.35272840804149,1.0609710734623725,227.80716610757864,119.20661726077161,1.9110278551838848
18,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00020_plane000,17409,0.600181554692251,554.3574311003805,167.884530470038,134.28475880278424,1.0959879594729864,157.0,149.0,1.0536912751677852
19,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00021_plane000,3509,0.6628803447713957,270.651803615609,79.23483739733042,59.325131298121036,1.20251708159062,68.0,51.0,1.3333333333333333
20,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00022_plane000,4844,0.41155974532862977,342.36857838867365,84.01600523376341,76.57074061469137,1.327312880910556,84.36388011717362,74.81285647610228,1.1276655389320986
21,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00023_plane000,6206,0.7745951953375411,509.6650429449553,116.00183197440852,73.36620975919467,1.520876545176073,101.0,65.0,1.5538461538461539
22,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00024_plane000,3508,0.3342149703471423,270.16652224137044,70.57261191824232,66.51446597679924,1.2188502952283018,60.99999237060547,56.99999237060547,1.0701754479894066
23,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00025_plane000,3199,0.6472299896198076,270.5512985522207,74.97515206398111,57.15316748681381,1.2579623159210185,64.99998474121094,48.99999237060547,1.3265305073843987
24,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00026_plane000,2767,0.5172562656038553,275.1787155501902,66.13506154911994,56.600407080507836,1.4535593736555317,58.0,49.0,1.183673469387755
25,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00027_plane000,3196,0.3037471604361769,312.5340546095176,66.9707981259563,63.806607160055215,1.526582458624524,58.0,56.0,1.0357142857142858
26,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00028_plane000,2853,0.536578108316438,279.76450198781714,67.35485988695919,56.83744286178843,1.420336613167239,59.99999237060547,49.99999237060547,1.2000000305175829
27,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00029_plane000,5444,0.4463360804591301,441.3807716974935,90.40954724831693,80.904376630228,1.6694636425606453,78.99998474121094,73.99998474121094,1.067567581499993
28,130_1,130_U1553D_6R_4W_21-24cm_N1of2_Z200x_obj00030_plane000,21561,0.1623337843531903,755.2752160002217,170.30407227937772,168.04514256142272,1.2938552552984393,149.0,148.0,1.0067567567567568
