"","age","mean_length"
"1",46.98220159,179.844645341406
"2",47.16927851,194.217405484623
"3",47.79729561,174.895832968688
"4",48.62835003,180.737518783202
"5",49.32974824,163.072273975809
"6",49.57442204,155.746589946604
"7",50.24654304,155.505067394578
"8",50.86395712,164.102205741263
"9",52.06165877,156.427067742685
"10",53.29943128,178.419199491059
"11",55.26669291,177.493364972054
"12",55.80137164,156.786476561938
"13",57.47523098,157.354444813153
"14",58.15218207,157.465934032034
"15",58.77291576,145.443274864932
"16",59.99798641,183.842413351982
"17",60.701875,163.609570762139
"18",62.1760645,140.270105824885
"19",62.33457631,153.892118466534
"20",63.18382167,151.234712446032
"21",63.70974494,131.519026632992
"22",64.11017742,147.663259460246
